date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2024-11-05 00:00:00,0.19326604547201207,0.11771479590665723,0.05352038204965239,1.9752276647991004e-05,0.0,0.0,226787055.22374535,258806816.01283875
2024-11-06 00:00:00,0.15153804302586493,0.09709276011018957,0.04020179574491134,3.537347815246045e-05,0.0,0.0,230498737.58973864,252003143.0327694
2024-11-07 00:00:00,0.3007216939837625,0.22943309922487906,0.05519013630107454,2.8643549272876853e-05,0.0,0.0,234012292.75468606,272216831.75531435
2024-11-08 00:00:00,0.30792364682587736,0.14328511608978262,0.06153293869623378,1.7769792989868285e-05,0.0,0.0,239706192.5387588,248334294.14962387
2024-11-09 00:00:00,0.14484619411297206,0.18557563174052635,0.05544180549965707,1.0930568874103426e-05,0.0,0.0,247390300.1401022,265616157.03929752
2024-11-10 00:00:00,0.23982040320298248,0.1403219865349729,0.05229432027265708,2.01406163612218e-05,0.0,0.0,245519175.84360653,258439283.48849142
2024-11-11 00:00:00,0.22206230847213604,0.10948690597563523,0.05438530830192117,2.6415532929358982e-05,0.0,0.0,258210655.68734413,232828712.92427847
2024-11-12 00:00:00,0.2804827168175015,0.09474347451825262,0.06225387108916405,2.419426993230742e-05,0.0,0.0,266676906.54282743,249991583.7261754
2024-11-13 00:00:00,0.20187434468194046,0.11320906200567986,0.06490103142919025,2.4746636845962365e-05,0.0,0.0,267410393.5808965,262682500.6531684
2024-11-14 00:00:00,0.13825007639849593,0.08213567492447271,0.09273969793972295,2.5235017575034586e-05,0.0,0.0,275071298.21798605,247523720.5605558
2024-11-15 00:00:00,0.12570557611734154,0.2665818989481618,0.014021385734852005,2.4614725482623017e-05,0.0,0.0,259720977.22653112,257427602.30432668
2024-11-16 00:00:00,0.23042093759091878,0.21640323850238594,-0.00718760238269458,2.3461200503772112e-05,0.0,0.0,278600116.40523636,285672676.7372698
2024-11-17 00:00:00,0.23435581087873775,0.18901912217882266,-0.011059622338647304,2.9145582329402055e-05,0.0,0.0,273399976.7384106,245446010.91513655
2024-11-18 00:00:00,0.19949599602065055,0.24735251413494863,0.041653539506766646,4.594607342716858e-05,0.0,0.0,275229888.8053161,242156068.18982613
2024-11-19 00:00:00,0.25470139576073514,0.14015070831286924,0.044732131075397745,2.7466031346471345e-05,0.0,0.0,308965742.75343764,277812926.0011165
2024-11-20 00:00:00,0.12627251628695996,0.2595710699647824,0.05519157056250974,3.453519961254083e-05,0.0,0.0,282789823.9877967,261431394.43366066
2024-11-21 00:00:00,0.1531437021553213,0.2855049281529872,0.04231594171288485,3.011295192167382e-05,0.0,0.0,277746739.5715689,260984006.8752525
2024-11-22 00:00:00,0.286586186885076,0.22817079221093386,0.05377775008731626,3.070086818777275e-05,0.0,0.0,256413858.08247942,282391928.00999874
2024-11-23 00:00:00,0.20098292019729935,0.286922977574055,0.05177179048399225,3.062557184239281e-05,0.0,0.0,277105255.006715,283563003.40790534
2024-11-24 00:00:00,0.19691912002806614,0.10281492327536422,0.015895475124441883,3.362270373068107e-05,0.0,0.0,274779567.1169985,266761518.39579386
2024-11-25 00:00:00,0.3120508859474832,0.13485279765269267,0.06788605909025193,2.5389199847615053e-05,0.0,0.0,266547715.6784188,253841025.40342593
