date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-extra_finance_leverage_farming_protocol,forecasted_TVL_opchain-extra_finance_leverage_farming_protocol
2024-12-15 00:00:00,0.29861449592624995,0.12240654962316219,0.11160350663340236,0.0,0.0,47642582.97370928,147817113.4148609,142006039.90079802
2024-12-16 00:00:00,0.2010714806948672,0.11977903835572275,0.12682186322846084,0.0,0.0,40466718.05603192,160509031.46501896,141143342.3586792
2024-12-17 00:00:00,0.37138870429881754,0.17961932722592205,0.11873170545433057,0.0,0.0,46382367.51059854,140316356.99686602,139664162.49955148
2024-12-18 00:00:00,0.2465490323676443,0.28250881580095627,0.09823515352627335,9.639348649862565e-10,0.0,62467178.70665288,154358058.58974275,130968776.15933517
2024-12-19 00:00:00,0.1397863355965761,0.14196059190846153,0.12378178390111841,6.139943166779956e-10,0.0,61788959.44299496,140895203.6924863,126175018.95799394
2024-12-20 00:00:00,0.4829841252655533,0.18344774684032794,0.10462359779835462,6.276004281869374e-10,0.0,42192550.80407105,156708792.45856395,115287840.56232299
2024-12-21 00:00:00,0.28501516865223037,0.08778997229005457,0.10419650895908017,-3.983918218284136e-06,0.0,42240684.72658888,140528703.71871606,138532979.84503752
2024-12-22 00:00:00,0.2588529372267738,0.11005826734674047,0.11617334271796485,-7.2356286274503424e-06,0.0,33163192.910458893,158153512.8115944,121956817.06252277
2024-12-23 00:00:00,0.37595600113339894,0.1377517018353802,0.11158093538161208,-5.421236024996472e-06,0.0,63491578.92707823,147979945.82499695,121839293.0119019
2024-12-24 00:00:00,0.1879314458433166,0.18526300465142637,0.10791039143143989,1.577031167400554e-25,0.0,34307476.117123544,148187288.0867334,122316123.20067215
2024-12-25 00:00:00,0.2201777311415064,0.15266512556363587,0.06069020467122211,3.022506429288174e-25,0.0,57782634.58321151,147226840.72789565,125112974.2829068
